recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
147_pomper_saffran_2016_46,147,pomper_saffran_2016,46,1,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,3533.3333333333335,NA,1,3533.3333333333335,NA,1,3533.3333333333335,NA,21,target
148_pomper_saffran_2016_44,148,pomper_saffran_2016,44,0.7140522875816994,0.3304534054927563,4,NA,NA,NA,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,3,4,2108.3333333333335,1645.954636879968,4,2083.3333333333335,1696.2922529468228,4,2166.666666666667,1583.9472494022295,19,target
149_pomper_saffran_2016_44,149,pomper_saffran_2016,44,0.9296875,0.140625,4,1,0,2,1,0,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,1,4,3225,616.6666666666667,4,3225,616.6666666666667,4,3225,616.6666666666667,19,target
150_pomper_saffran_2016_43,150,pomper_saffran_2016,43,0.9458762886597938,0.10824742268041238,4,0.7594339622641508,0.060037368213952134,2,1.25,0.5,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,2,4,2966.666666666667,1133.3333333333333,4,3025,1016.6666666666667,4,3025,1016.6666666666667,18,target
151_pomper_saffran_2016_45,151,pomper_saffran_2016,45,0.5902716138922314,0.08753125012253869,5,0.2735849056603773,0.0667081869043913,2,1.8,0.44721359549995793,5,0,0,5,NA,NA,NA,NA,NA,NA,10,5,1063.3333333333335,496.99094559156714,5,720,443.220537029191,5,1306.6666666666667,396.7926970654128,20,target
152_pomper_saffran_2016_46,152,pomper_saffran_2016,46,0.5254854368932038,0.3175115400959012,2,NA,NA,NA,1,0,2,0,0,2,NA,NA,NA,NA,NA,NA,3,2,1066.6666666666667,424.26406871192853,2,250,23.570226039551592,2,1066.6666666666667,424.26406871192853,21,target
153_pomper_saffran_2016_45,153,pomper_saffran_2016,45,0.7059343434343435,0.340982128352694,4,0.4528301886792453,0.040024912142634754,2,1,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,3,4,2425,1288.5176668473653,4,2425,1288.5176668473653,4,2425,1288.5176668473653,20,target
154_pomper_saffran_2016_41,154,pomper_saffran_2016,41,0.8400558069381598,0.10421769422351612,5,0.490566037735849,0.013341637380878252,2,1,0,5,0.4,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,4,5,2866.666666666667,432.691832858239,5,2866.666666666667,432.691832858239,5,2866.666666666667,432.691832858239,16,target
155_pomper_saffran_2016_44,155,pomper_saffran_2016,44,0.903061224489796,0.19387755102040816,4,NA,NA,NA,1,0,4,1,0,4,NA,NA,NA,NA,NA,NA,1,4,3150,766.6666666666666,4,3150,766.6666666666666,4,3150,766.6666666666666,19,target
156_pomper_saffran_2016_46,156,pomper_saffran_2016,46,0.7934086255861568,0.18791390174569042,3,NA,NA,NA,1.6666666666666667,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,3,3,1633.3333333333335,819.2137151629673,3,1633.3333333333335,1006.6445913694333,3,1944.4444444444446,555.1109331909689,21,target
157_pomper_saffran_2016_46,157,pomper_saffran_2016,46,0.860344137655062,0.1636904131400338,4,NA,NA,NA,1.5,0.5773502691896257,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,4,4,2366.666666666667,1347.4255287605158,4,2425,1285.6400625254219,4,2458.3333333333335,1243.1665065319944,21,target
158_pomper_saffran_2016_47,158,pomper_saffran_2016,47,0.7494162467739953,0.3500067273152998,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,1933.3333333333335,638.5748020222674,3,1933.3333333333335,638.5748020222674,3,1933.3333333333335,638.5748020222674,22,target
159_pomper_saffran_2016_47,159,pomper_saffran_2016,47,0.6828231292517006,0.3126049733449372,3,0.6603773584905661,0.053366549523513086,2,1,0,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,2044.4444444444446,1451.5636524234951,3,1466.6666666666667,1800.9256878986798,3,2044.4444444444446,1451.5636524234951,22,target
160_pomper_saffran_2016_43,160,pomper_saffran_2016,43,0.7481301799070144,0.354774109575232,4,NA,NA,NA,1,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,2,4,2541.666666666667,1353.2881765865277,4,2541.666666666667,1353.2881765865277,4,2541.666666666667,1353.2881765865277,18,target
161_pomper_saffran_2016_44,161,pomper_saffran_2016,44,0.5954491725768322,0.3805209227413098,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,1466.6666666666667,1026.861453383291,3,1366.6666666666667,1168.0943645290156,3,1466.6666666666667,1026.861453383291,19,target
162_pomper_saffran_2016_45,162,pomper_saffran_2016,45,0.7956160544490041,0.20666117516411958,2,NA,NA,NA,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,2,2,2141.666666666667,1543.8498055906289,2,2216.666666666667,1437.7837884126468,2,2216.666666666667,1437.7837884126468,20,target
163_pomper_saffran_2016_46,163,pomper_saffran_2016,46,0.8247352916770392,0.17192929088799216,6,0.6981132075471699,0.10673309904702609,2,1.3333333333333333,0.5163977794943222,6,0.3333333333333333,0.5163977794943222,6,NA,NA,NA,NA,NA,NA,5,6,2341.666666666667,1109.341646603466,6,1638.888888888889,1521.0254825342404,6,2350,1098.0285363626333,21,target
165_pomper_saffran_2016_46,165,pomper_saffran_2016,46,0.7869505494505494,0.18727334043949562,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,3,3,1627.7777777777778,652.4171580730754,3,1644.4444444444446,623.9064507273981,3,1644.4444444444446,623.9064507273981,21,target
166_pomper_saffran_2016_47,166,pomper_saffran_2016,47,0.9934640522875817,0.011320593513522097,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,1,0,3,NA,NA,NA,NA,NA,NA,0,3,2816.666666666667,1072.7690027836063,3,3100,585.9465277082315,3,3100,585.9465277082315,22,target
167_pomper_saffran_2016_46,167,pomper_saffran_2016,46,0.9611504007543612,0.04487656378760461,4,NA,NA,NA,1,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,0,4,3350,218.58128414340007,4,3350,218.58128414340007,4,3350,218.58128414340007,21,target
