recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
120_120_pomper_saffran_2016_42,9,120,pomper_saffran_2016,42,yellow,yellow,distractor,71,8,0.8987341772151899,NA,2,1,NA,290,0,1183.3333333333335,733.3333333333334,1633.3333333333335,17,all
120_120_pomper_saffran_2016_42,10,120,pomper_saffran_2016,42,brown,brown,distractor,51,51,0.5,0.169811320754717,1,1,NA,15,1,1700.0000000000002,1700.0000000000002,1700.0000000000002,17,all
120_120_pomper_saffran_2016_42,11,120,pomper_saffran_2016,42,red,red,target,24,71,0.25263157894736843,-0.40566037735849053,1,NA,0,NA,1,500.00000000000006,500.00000000000006,500.00000000000006,17,all
120_120_pomper_saffran_2016_42,12,120,pomper_saffran_2016,42,orange,orange,target,51,7,0.8793103448275862,NA,1,NA,0,NA,0,1466.6666666666667,1466.6666666666667,1466.6666666666667,17,all
120_120_pomper_saffran_2016_42,13,120,pomper_saffran_2016,42,white,white,distractor,62,33,0.6526315789473685,0.10377358490566035,1,1,NA,990,1,2066.666666666667,2066.666666666667,2066.666666666667,17,all
120_120_pomper_saffran_2016_42,15,120,pomper_saffran_2016,42,green,green,distractor,32,67,0.32323232323232326,-0.36792452830188677,1,1,NA,640,2,1066.6666666666667,1066.6666666666667,1066.6666666666667,17,all
120_120_pomper_saffran_2016_42,16,120,pomper_saffran_2016,42,yellow,yellow,distractor,22,55,0.2857142857142857,NA,1,0,NA,NA,1,733.3333333333334,733.3333333333334,733.3333333333334,17,all
121_121_pomper_saffran_2016_42,1,121,pomper_saffran_2016,42,green,green,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,17,all
121_121_pomper_saffran_2016_42,2,121,pomper_saffran_2016,42,blue,blue,target,84,13,0.865979381443299,NA,1,NA,1,NA,1,2800,2800,2800,17,all
121_121_pomper_saffran_2016_42,3,121,pomper_saffran_2016,42,black,black,distractor,93,11,0.8942307692307693,0.8773584905660378,1,1,NA,340,0,3100,3100,3100,17,all
121_121_pomper_saffran_2016_42,4,121,pomper_saffran_2016,42,brown,brown,distractor,102,1,0.9902912621359223,0.8113207547169812,1,1,NA,115,0,3400.0000000000005,3400.0000000000005,3400.0000000000005,17,all
121_121_pomper_saffran_2016_42,5,121,pomper_saffran_2016,42,yellow,yellow,target,106,0,1,0.8962264150943396,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,all
121_121_pomper_saffran_2016_42,6,121,pomper_saffran_2016,42,green,green,distractor,95,8,0.9223300970873787,NA,1,1,NA,290,0,3166.666666666667,3166.666666666667,3166.666666666667,17,all
121_121_pomper_saffran_2016_42,7,121,pomper_saffran_2016,42,white,white,target,83,16,0.8383838383838383,0.7735849056603774,1,NA,0,NA,1,2500,266.6666666666667,2500,17,all
121_121_pomper_saffran_2016_42,8,121,pomper_saffran_2016,42,blue,blue,target,72,25,0.7422680412371134,NA,1,NA,0,NA,1,2133.3333333333335,266.6666666666667,2133.3333333333335,17,all
122_122_pomper_saffran_2016_44,1,122,pomper_saffran_2016,44,brown,brown,distractor,69,23,0.75,0.5943396226415094,2,1,NA,240,0,1150,666.6666666666667,1633.3333333333335,19,all
122_122_pomper_saffran_2016_44,2,122,pomper_saffran_2016,44,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,19,all
122_122_pomper_saffran_2016_44,3,122,pomper_saffran_2016,44,green,green,distractor,56,43,0.5656565656565656,0.5283018867924528,1,1,NA,715,2,1866.6666666666667,1866.6666666666667,1866.6666666666667,19,all
