recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
134_pomper_saffran_2016_44,16,134,pomper_saffran_2016,44,brown,brown,target,67,32,0.6767676767676768,NA,2,NA,0,NA,2,1116.6666666666667,1233.3333333333335,1233.3333333333335,19,target
135_pomper_saffran_2016_46,1,135,pomper_saffran_2016,46,red,red,target,79,0,1,NA,2,NA,1,NA,0,1316.6666666666667,2133.3333333333335,2133.3333333333335,21,target
135_pomper_saffran_2016_46,4,135,pomper_saffran_2016,46,white,white,target,55,0,1,0.169811320754717,1,NA,1,NA,0,1500,1500,1500,21,target
135_pomper_saffran_2016_46,7,135,pomper_saffran_2016,46,brown,brown,target,61,37,0.6224489795918368,0.5754716981132075,2,NA,0,NA,2,1016.6666666666667,800,1233.3333333333335,21,target
136_pomper_saffran_2016_42,1,136,pomper_saffran_2016,42,red,red,target,82,16,0.8367346938775511,NA,2,NA,0,NA,2,1366.6666666666667,800,1933.3333333333335,17,target
136_pomper_saffran_2016_42,2,136,pomper_saffran_2016,42,orange,orange,target,92,10,0.9019607843137255,NA,1,NA,1,NA,0,3066.666666666667,3066.666666666667,3066.666666666667,17,target
136_pomper_saffran_2016_42,3,136,pomper_saffran_2016,42,yellow,yellow,target,62,38,0.62,0.36792452830188677,2,NA,0,NA,2,1033.3333333333333,1600,1600,17,target
136_pomper_saffran_2016_42,5,136,pomper_saffran_2016,42,black,black,target,70,23,0.7526881720430108,0.3018867924528302,2,NA,0,NA,2,1166.6666666666667,1200,1200,17,target
137_pomper_saffran_2016_45,9,137,pomper_saffran_2016,45,blue,blue,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,20,target
137_pomper_saffran_2016_45,14,137,pomper_saffran_2016,45,yellow,yellow,target,53,46,0.5353535353535354,NA,1,NA,1,NA,1,1766.6666666666667,1766.6666666666667,1766.6666666666667,20,target
137_pomper_saffran_2016_45,15,137,pomper_saffran_2016,45,blue,blue,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,20,target
138_pomper_saffran_2016_43,3,138,pomper_saffran_2016,43,red,red,target,91,0,1,NA,1,NA,1,NA,0,3033.3333333333335,3033.3333333333335,3033.3333333333335,18,target
138_pomper_saffran_2016_43,4,138,pomper_saffran_2016,43,blue,blue,target,40,62,0.39215686274509803,NA,1,NA,0,NA,1,1333.3333333333335,1333.3333333333335,1333.3333333333335,18,target
138_pomper_saffran_2016_43,7,138,pomper_saffran_2016,43,black,black,target,67,34,0.6633663366336634,NA,1,NA,1,NA,1,2233.3333333333335,2233.3333333333335,2233.3333333333335,18,target
