recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S20_85212000_E2,85212000,CompMix-36,48,20,80,20,0.8661128447731278,0.0067924856474453005,3,0.6446540880503144,0.16454686103083185,2,1.3333333333333333,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,4,3,1616.6666666666667,567.40148435164,3,1872.2222222222224,310.1672189379523,3,1872.2222222222224,310.1672189379523,0.11333333333333313,0.08693867570496625,3,0.09111494252873564,0.04287191040618629,3,444.3333333333333,183.02003533311137,3,23,target
Mix_20_S29,17328000,Mix-20,21.033333333333335,42,58,42,1,NA,1,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,1250,NA,1,2283.3333333333335,NA,1,2283.3333333333335,NA,0.20499999999999963,NA,1,0.1878333333333333,NA,1,600,NA,1,-3.966666666666665,target
Mix_20_S36,16464000,Mix-20,21.3,62,38,62,0.27586206896551724,NA,1,NA,NA,NA,1,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,1,666.6666666666667,NA,1,666.6666666666667,NA,1,666.6666666666667,NA,0.015000000000000124,NA,1,-0.008416666666666295,NA,1,583,NA,1,-3.6999999999999993,target
Mix_14_S23,55704000,Mix-14,14.3,77,23,77,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1299999999999999,NA,1,0.13566666666666638,NA,1,167,NA,1,-10.7,target
Mix_20_S41,40632000,Mix-20,20.5,29,71,29,0.9924812030075187,0.013022938402773545,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,1,0,3,NA,NA,NA,NA,NA,NA,0,3,1830.5555555555557,685.6836275112868,3,1900.0000000000002,565.9308948783216,3,1900.0000000000002,565.9308948783216,-0.043333333333333446,0.10680979980008068,3,-0.10627777777777785,0.11108368758799864,3,305,237.9936973955403,3,-4.5,target
Mix_20_S45,58560000,Mix-20,20.366666666666667,91,9,91,0.5142857142857142,NA,1,NA,NA,NA,1,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,1,350,NA,1,350,NA,1,350,NA,0.029999999999999805,NA,1,0.006916666666666682,NA,1,250,NA,1,-4.633333333333333,target
Mix_14_S30,62880000,Mix-14,14.466666666666667,24.1,75.9,24.1,0.8947368421052632,0.18232113763882918,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,1686.1111111111113,662.2946921569427,3,1750.0000000000002,585.9465277082317,3,1750.0000000000002,585.9465277082317,0.055000000000000014,0.027838821814149994,3,-0.06358333333333317,0.018929694486001018,3,310.6666666666667,210.5334494405422,3,-10.533333333333333,target
Mix_14_S32,72444000,Mix-14,14.133333333333333,69,28,69,0.4567271786435586,0.36486308916272986,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0,0,3,NA,NA,NA,NA,NA,NA,5,3,658.3333333333334,314.35560189766693,3,455.5555555555556,96.22504486493767,3,861.1111111111112,659.6154884420109,0.07166666666666677,0.03617089069035106,3,0.033472222222222126,0.05213293193934712,3,516,185.7121428447801,3,-10.866666666666667,target
Mix_14_S34,70908000,Mix-14,14.8,57,43,57,0.9061032863849765,0.16263387864496498,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,1,3,2100,346.41016151377534,3,2100,346.41016151377534,3,2100,346.41016151377534,0.13166666666666682,0.023094010767584792,3,0.07763888888888903,0.018840767952422677,3,544.3333333333334,67.71508940652248,3,-10.2,target
Mix_20_S47,61680000,Mix-20,20.2,80,20,80,0.6138990267639903,0.10215198329185228,2,NA,NA,NA,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,3,2,1108.3333333333335,648.1812160876686,2,1200,518.5449728701349,2,1200,518.5449728701349,0.06750000000000012,0.123743686707646,2,-0.023791666666666433,0.1644612521909712,2,433,353.5533905932738,2,-4.800000000000001,target
