recording_name,trial_number,subject_id,dataset_name,age_months,target_word,yoked_target,yoked_distractor,yoked_pair,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
125_125_pomper_saffran_2016_43,10,125,pomper_saffran_2016,43,black,black,yellow,black-yellow,black,distractor,77,27,0.7403846153846154,NA,1,1,NA,740,1,2566.666666666667,2566.666666666667,2566.666666666667,18,distractor
125_125_pomper_saffran_2016_43,12,125,pomper_saffran_2016,43,blue,blue,orange,blue-orange,blue,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,18,distractor
125_125_pomper_saffran_2016_43,13,125,pomper_saffran_2016,43,brown,brown,white,brown-white,brown,distractor,103,0,1,NA,1,1,NA,90,0,3433.3333333333335,3433.3333333333335,3433.3333333333335,18,distractor
125_125_pomper_saffran_2016_43,14,125,pomper_saffran_2016,43,blue,blue,orange,blue-orange,blue,distractor,102,0,1,NA,1,1,NA,115,0,3400.0000000000005,3400.0000000000005,3400.0000000000005,18,distractor
125_125_pomper_saffran_2016_43,16,125,pomper_saffran_2016,43,green,green,red,green-red,green,distractor,97,7,0.9326923076923077,NA,1,1,NA,240,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,18,distractor
126_126_pomper_saffran_2016_44,1,126,pomper_saffran_2016,44,black,black,yellow,black-yellow,black,distractor,55,45,0.55,NA,2,1,NA,440,3,916.6666666666667,1400,1400,19,distractor
126_126_pomper_saffran_2016_44,2,126,pomper_saffran_2016,44,white,white,brown,brown-white,white,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,2966.666666666667,2966.666666666667,2966.666666666667,19,distractor
126_126_pomper_saffran_2016_44,4,126,pomper_saffran_2016,44,blue,blue,orange,blue-orange,blue,distractor,97,7,0.9326923076923077,NA,1,1,NA,240,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,19,distractor
126_126_pomper_saffran_2016_44,7,126,pomper_saffran_2016,44,red,red,green,green-red,red,distractor,49,50,0.494949494949495,NA,1,1,NA,515,2,1633.3333333333335,1633.3333333333335,1633.3333333333335,19,distractor
127_127_pomper_saffran_2016_41,9,127,pomper_saffran_2016,41,orange,orange,blue,blue-orange,orange,distractor,77,25,0.7549019607843137,NA,1,1,NA,740,1,2566.666666666667,2566.666666666667,2566.666666666667,16,distractor
127_127_pomper_saffran_2016_41,11,127,pomper_saffran_2016,41,yellow,yellow,black,black-yellow,yellow,distractor,98,5,0.9514563106796117,0.8018867924528302,1,1,NA,215,0,3266.666666666667,3266.666666666667,3266.666666666667,16,distractor
127_127_pomper_saffran_2016_41,12,127,pomper_saffran_2016,41,white,white,brown,brown-white,white,distractor,79,23,0.7745098039215687,0.5094339622641508,1,1,NA,690,1,2633.3333333333335,2633.3333333333335,2633.3333333333335,16,distractor
127_127_pomper_saffran_2016_41,13,127,pomper_saffran_2016,41,red,red,green,green-red,red,distractor,90,15,0.8571428571428571,NA,1,1,NA,415,1,3000,3000,3000,16,distractor
127_127_pomper_saffran_2016_41,14,127,pomper_saffran_2016,41,black,black,yellow,black-yellow,black,distractor,87,13,0.87,0.7735849056603774,1,1,NA,415,1,2900,2900,2900,16,distractor
127_127_pomper_saffran_2016_41,15,127,pomper_saffran_2016,41,orange,orange,blue,blue-orange,orange,distractor,55,42,0.5670103092783505,NA,1,1,NA,840,2,1833.3333333333335,1833.3333333333335,1833.3333333333335,16,distractor
127_127_pomper_saffran_2016_41,16,127,pomper_saffran_2016,41,brown,brown,white,brown-white,brown,distractor,78,25,0.7572815533980582,0.5188679245283019,1,1,NA,715,1,2600,2600,2600,16,distractor
128_128_pomper_saffran_2016_47,11,128,pomper_saffran_2016,47,green,green,red,green-red,green,distractor,90,13,0.8737864077669902,0.7641509433962265,1,1,NA,415,1,3000,3000,3000,22,distractor
128_128_pomper_saffran_2016_47,14,128,pomper_saffran_2016,47,orange,orange,blue,blue-orange,orange,distractor,98,5,0.9514563106796117,NA,1,1,NA,215,0,3266.666666666667,3266.666666666667,3266.666666666667,22,distractor
128_128_pomper_saffran_2016_47,16,128,pomper_saffran_2016,47,red,red,green,green-red,red,distractor,94,9,0.912621359223301,0.7641509433962265,1,1,NA,315,1,3133.3333333333335,3133.3333333333335,3133.3333333333335,22,distractor
129_129_pomper_saffran_2016_45,1,129,pomper_saffran_2016,45,orange,orange,blue,blue-orange,orange,distractor,87,16,0.8446601941747572,NA,1,1,NA,490,1,2900,2900,2900,20,distractor
129_129_pomper_saffran_2016_45,2,129,pomper_saffran_2016,45,red,red,green,green-red,red,distractor,67,4,0.9436619718309859,NA,2,1,NA,215,0,1116.6666666666667,1333.3333333333335,1333.3333333333335,20,distractor
129_129_pomper_saffran_2016_45,5,129,pomper_saffran_2016,45,red,red,green,green-red,red,distractor,97,7,0.9326923076923077,NA,1,1,NA,240,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,20,distractor
129_129_pomper_saffran_2016_45,6,129,pomper_saffran_2016,45,black,black,yellow,black-yellow,black,distractor,95,8,0.9223300970873787,NA,1,1,NA,290,1,3166.666666666667,3166.666666666667,3166.666666666667,20,distractor
130_130_pomper_saffran_2016_44,10,130,pomper_saffran_2016,44,blue,blue,orange,blue-orange,blue,distractor,79,24,0.7669902912621359,NA,1,1,NA,690,1,2633.3333333333335,2633.3333333333335,2633.3333333333335,19,distractor
130_130_pomper_saffran_2016_44,11,130,pomper_saffran_2016,44,black,black,yellow,black-yellow,black,distractor,62,41,0.6019417475728155,NA,1,1,NA,1115,1,2066.666666666667,2066.666666666667,2066.666666666667,19,distractor
130_130_pomper_saffran_2016_44,15,130,pomper_saffran_2016,44,white,white,brown,brown-white,white,distractor,103,0,1,NA,1,1,NA,90,0,3433.3333333333335,3433.3333333333335,3433.3333333333335,19,distractor
131_131_pomper_saffran_2016_42,1,131,pomper_saffran_2016,42,blue,blue,orange,blue-orange,blue,distractor,86,16,0.8431372549019608,NA,1,1,NA,515,1,2866.666666666667,2866.666666666667,2866.666666666667,17,distractor
131_131_pomper_saffran_2016_42,4,131,pomper_saffran_2016,42,brown,brown,white,brown-white,brown,distractor,57,8,0.8769230769230769,NA,2,1,NA,290,1,950,1266.6666666666667,1266.6666666666667,17,distractor
131_131_pomper_saffran_2016_42,5,131,pomper_saffran_2016,42,green,green,red,green-red,green,distractor,86,3,0.9662921348314607,NA,2,1,NA,190,0,1433.3333333333335,2133.3333333333335,2133.3333333333335,17,distractor
131_131_pomper_saffran_2016_42,7,131,pomper_saffran_2016,42,blue,blue,orange,blue-orange,blue,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,17,distractor
132_132_pomper_saffran_2016_41,9,132,pomper_saffran_2016,41,red,red,green,green-red,red,distractor,83,20,0.8058252427184466,NA,1,1,NA,590,1,2766.666666666667,2766.666666666667,2766.666666666667,16,distractor
132_132_pomper_saffran_2016_41,13,132,pomper_saffran_2016,41,black,black,yellow,black-yellow,black,distractor,97,4,0.9603960396039604,NA,1,1,NA,240,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,16,distractor
132_132_pomper_saffran_2016_41,14,132,pomper_saffran_2016,41,red,red,green,green-red,red,distractor,48,48,0.5,NA,2,1,NA,115,2,800.0000000000001,566.6666666666667,1033.3333333333335,16,distractor
132_132_pomper_saffran_2016_41,15,132,pomper_saffran_2016,41,brown,brown,white,brown-white,brown,distractor,104,0,1,NA,1,1,NA,40,0,3466.666666666667,3466.666666666667,3466.666666666667,16,distractor
132_132_pomper_saffran_2016_41,16,132,pomper_saffran_2016,41,orange,orange,blue,blue-orange,orange,distractor,98,5,0.9514563106796117,NA,1,1,NA,215,0,3266.666666666667,3266.666666666667,3266.666666666667,16,distractor
133_133_pomper_saffran_2016_45,1,133,pomper_saffran_2016,45,green,green,red,green-red,green,distractor,77,19,0.8020833333333334,NA,2,1,NA,190,2,1283.3333333333335,1133.3333333333335,1433.3333333333335,20,distractor
133_133_pomper_saffran_2016_45,3,133,pomper_saffran_2016,45,black,black,yellow,black-yellow,black,distractor,62,37,0.6262626262626263,NA,2,1,NA,115,2,1033.3333333333335,966.6666666666667,1100,20,distractor
133_133_pomper_saffran_2016_45,7,133,pomper_saffran_2016,45,white,white,brown,brown-white,white,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,20,distractor
134_134_pomper_saffran_2016_44,9,134,pomper_saffran_2016,44,orange,orange,blue,blue-orange,orange,distractor,85,19,0.8173076923076923,NA,1,1,NA,540,1,2833.3333333333335,2833.3333333333335,2833.3333333333335,19,distractor
134_134_pomper_saffran_2016_44,10,134,pomper_saffran_2016,44,red,red,green,green-red,red,distractor,65,30,0.6842105263157895,NA,1,1,NA,590,2,2166.666666666667,2166.666666666667,2166.666666666667,19,distractor
134_134_pomper_saffran_2016_44,14,134,pomper_saffran_2016,44,black,black,yellow,black-yellow,black,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,2966.666666666667,2966.666666666667,2966.666666666667,19,distractor
134_134_pomper_saffran_2016_44,15,134,pomper_saffran_2016,44,orange,orange,blue,blue-orange,orange,distractor,79,24,0.7669902912621359,NA,1,1,NA,690,1,2633.3333333333335,2633.3333333333335,2633.3333333333335,19,distractor
135_135_pomper_saffran_2016_46,3,135,pomper_saffran_2016,46,yellow,yellow,black,black-yellow,yellow,distractor,93,11,0.8942307692307693,0.6603773584905661,1,1,NA,340,1,3100,3100,3100,21,distractor
135_135_pomper_saffran_2016_46,5,135,pomper_saffran_2016,46,black,black,yellow,black-yellow,black,distractor,75,23,0.7653061224489796,0.6037735849056604,2,1,NA,390,3,1250,1266.6666666666667,1266.6666666666667,21,distractor
136_136_pomper_saffran_2016_42,4,136,pomper_saffran_2016,42,white,white,brown,brown-white,white,distractor,105,0,1,0.6415094339622642,1,1,NA,40,0,3500.0000000000005,3500.0000000000005,3500.0000000000005,17,distractor
136_136_pomper_saffran_2016_42,6,136,pomper_saffran_2016,42,red,red,green,green-red,red,distractor,97,5,0.9509803921568627,NA,1,1,NA,240,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,17,distractor
136_136_pomper_saffran_2016_42,7,136,pomper_saffran_2016,42,brown,brown,white,brown-white,brown,distractor,64,37,0.6336633663366337,0.6037735849056604,1,1,NA,490,2,2133.3333333333335,2133.3333333333335,2133.3333333333335,17,distractor
136_136_pomper_saffran_2016_42,8,136,pomper_saffran_2016,42,orange,orange,blue,blue-orange,orange,distractor,43,50,0.46236559139784944,NA,2,1,NA,240,2,716.6666666666667,933.3333333333334,933.3333333333334,17,distractor
137_137_pomper_saffran_2016_45,10,137,pomper_saffran_2016,45,green,green,red,green-red,green,distractor,55,41,0.5729166666666666,NA,1,1,NA,1115,1,1833.3333333333335,1833.3333333333335,1833.3333333333335,20,distractor
137_137_pomper_saffran_2016_45,13,137,pomper_saffran_2016,45,green,green,red,green-red,green,distractor,87,15,0.8529411764705882,NA,1,1,NA,490,1,2900,2900,2900,20,distractor
138_138_pomper_saffran_2016_43,1,138,pomper_saffran_2016,43,white,white,brown,brown-white,white,distractor,23,79,0.22549019607843138,-0.05660377358490565,1,0,NA,NA,1,766.6666666666667,766.6666666666667,766.6666666666667,18,distractor
138_138_pomper_saffran_2016_43,2,138,pomper_saffran_2016,43,black,black,yellow,black-yellow,black,distractor,80,20,0.8,NA,1,1,NA,615,1,2666.666666666667,2666.666666666667,2666.666666666667,18,distractor
