recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
130_130_pomper_saffran_2016_44,130,pomper_saffran_2016,44,0.8668047740298558,0.20704833528019193,8,NA,NA,NA,1,0,8,0.75,0.5,4,1,0,4,340,108.01234497346434,4,0.25,8,2854.166666666667,842.320585201364,8,2854.166666666667,842.320585201364,8,2854.166666666667,842.320585201364,19,all
131_131_pomper_saffran_2016_42,131,pomper_saffran_2016,42,0.9327302102693206,0.07681524874224922,8,NA,NA,NA,1,0,8,0.75,0.5,4,1,0,4,358.75,190.80421903092184,4,0.25,8,3191.666666666667,360.66517031641007,8,2891.666666666667,1110.3767414425197,8,3191.666666666667,360.66517031641007,17,all
132_132_pomper_saffran_2016_41,132,pomper_saffran_2016,41,0.926902072442121,0.0796940703403997,8,NA,NA,NA,1.125,0.3535533905932738,8,0.6666666666666666,0.5773502691896257,3,1,0,5,335,225.97013076953334,5,0.125,8,3012.5,680.0881128720317,8,2891.666666666667,998.5306665613691,8,3133.3333333333335,401.97923029343394,16,all
133_133_pomper_saffran_2016_45,133,pomper_saffran_2016,45,0.7493841742076839,0.29324804123048837,8,NA,NA,NA,1.125,0.3535533905932738,8,0.5,0.5773502691896257,4,1,0,2,290,282.842712474619,2,0.625,8,2141.666666666667,1004.2370554266873,8,2091.666666666667,1058.7129053114522,8,2191.666666666667,967.5283515799996,20,all
134_134_pomper_saffran_2016_44,134,pomper_saffran_2016,44,0.8887345967139657,0.15105230211142706,8,NA,NA,NA,1,0,8,1,0,6,1,0,2,352.5,88.38834764831844,2,0.375,8,3104.166666666667,557.3285201432628,8,3104.166666666667,557.3285201432628,8,3104.166666666667,557.3285201432628,19,all
135_135_pomper_saffran_2016_46,135,pomper_saffran_2016,46,0.79203744665494,0.19314309739937627,7,NA,NA,NA,1.1428571428571428,0.3779644730092272,7,0.75,0.5,4,1,0,2,1115,35.35533905932738,2,0.42857142857142855,7,2180.952380952381,751.7528018785664,7,1933.3333333333335,977.9040322528057,7,2290.4761904761904,657.6372651293208,21,all
136_136_pomper_saffran_2016_42,136,pomper_saffran_2016,42,0.7046902609666109,0.26836624287918326,8,NA,NA,NA,1.125,0.3535533905932738,8,0.5,0.7071067811865476,2,1,0,6,502.5,430.62454644388305,6,1,8,2191.666666666667,1150.8106183751868,8,2091.666666666667,1287.5163737593448,8,2241.666666666667,1099.169961004486,17,all
137_137_pomper_saffran_2016_45,137,pomper_saffran_2016,45,0.6854817816728775,0.23691446246799544,8,NA,NA,NA,1.125,0.3535533905932738,8,0,0,3,1,0,5,470,219.65882636488797,5,0.875,8,2035.4166666666667,990.768400691869,8,1737.5,1123.265859214189,8,2050,974.9236844369874,20,all
138_138_pomper_saffran_2016_43,138,pomper_saffran_2016,43,0.8250729511405288,0.21148447574746015,4,NA,NA,NA,1,0,4,0.5,0.7071067811865476,2,1,0,2,290,141.4213562373095,2,0.5,4,2475,1091.8468892796416,4,2475,1091.8468892796416,4,2475,1091.8468892796416,18,all
139_139_pomper_saffran_2016_45,139,pomper_saffran_2016,45,0.5396575351602836,0.28609616184147485,8,NA,NA,NA,1.375,0.5175491695067657,8,0.2,0.44721359549995793,5,0.3333333333333333,0.5773502691896257,3,515,NA,1,1.25,8,1295.8333333333335,991.4215383310304,8,1300,1006.959906832568,8,1366.6666666666667,955.1863443229036,20,all
140_140_pomper_saffran_2016_46,140,pomper_saffran_2016,46,0.9648058252427184,0.09954415851655281,8,NA,NA,NA,1.125,0.3535533905932738,8,1,0,5,1,NA,1,815,NA,1,0.125,8,2954.166666666667,863.5360122452591,8,3062.5,655.7287234292537,8,3062.5,655.7287234292537,21,all
141_141_pomper_saffran_2016_47,141,pomper_saffran_2016,47,0.916799183385745,0.1319427518029103,8,NA,NA,NA,1.375,0.5175491695067657,8,1,0,2,1,0,5,80,80.23403267940606,5,0.5,8,2627.0833333333335,1101.9800901321307,8,2845.8333333333335,843.2622782036856,8,2845.8333333333335,843.2622782036856,22,all
142_142_pomper_saffran_2016_46,142,pomper_saffran_2016,46,0.7007535810059722,0.30221755766203406,8,NA,NA,NA,1,0,8,0.6,0.5477225575051661,5,1,0,3,456.6666666666667,142.15601757693318,3,0.75,8,2425,1075.2260744192874,8,2425,1075.2260744192874,8,2425,1075.2260744192874,21,all
143_143_pomper_saffran_2016_45,143,pomper_saffran_2016,45,0.8506821732435896,0.14360609965074866,8,NA,NA,NA,1,0,8,0.75,0.5,4,1,0,4,515,349.40425488727715,4,0.625,8,2816.666666666667,641.6743969849754,8,2816.666666666667,641.6743969849754,8,2816.666666666667,641.6743969849754,20,all
