recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
32_ronfard_2021_20,32,ronfard_2021,20,0.23990221088435373,0.2848234087565323,4,NA,NA,NA,1,NA,1,NA,NA,NA,0.75,0.5,4,1006.6666666666666,448.1443219916251,3,1,4,1066.6666666666667,NA,1,533.3333333333334,463.0814663149935,3,1066.6666666666667,NA,-5,distractor
34_ronfard_2021_20,34,ronfard_2021,20,0.42341014595515414,0.321646898305774,13,-0.049329501915708826,0.08714843432815314,6,1,0,9,NA,NA,NA,0.7692307692307693,0.4385290096535146,13,650,404.5230387615629,10,7,13,1066.6666666666667,424.59130676189994,9,996.6666666666667,457.43514685717685,10,1066.6666666666667,424.59130676189994,-5,distractor
35_ronfard_2021_18,35,ronfard_2021,18,0.650452841900155,0.15029127314104002,11,0.23994252873563215,0.055794505284332184,4,1,0,11,NA,NA,NA,1,0,11,387.72727272727275,221.48773822001564,11,13,11,1133.3333333333335,245.40216425741284,11,1133.3333333333335,245.40216425741284,11,1133.3333333333335,245.40216425741284,-7,distractor
36_ronfard_2021_18,36,ronfard_2021,18,0.70971516674583,0.16872353498352785,10,0.40086206896551724,0.061965111071401784,4,1,0,10,NA,NA,NA,1,0,10,350,155.54563460426797,10,7,10,1223.3333333333335,309.53968213270304,10,1223.3333333333335,309.53968213270304,10,1223.3333333333335,309.53968213270304,-7,distractor
37_ronfard_2021_21,37,ronfard_2021,21,0.5549858346235388,0.27650499092177294,14,0.16906130268199235,0.0826301418635306,6,1,0,12,NA,NA,NA,0.9285714285714286,0.2672612419124244,14,565,355.7562367689427,13,12,14,1175,330.93836589341225,12,1175,330.93836589341225,12,1175,330.93836589341225,-4,distractor
38_ronfard_2021_18,38,ronfard_2021,18,0.4815386120778278,0.3051227565146477,12,-0.045977011494252866,0.21731434643955344,6,1,0,9,NA,NA,NA,0.8333333333333334,0.3892494720807615,12,545,287.66299727285053,10,8,12,1129.6296296296298,334.76544211517404,9,1043.3333333333335,417.2366471836893,10,1129.6296296296298,334.76544211517404,-7,distractor
39_ronfard_2021_23,39,ronfard_2021,23,0.8437249950485245,0.14395258554420579,8,0.47413793103448276,0.060957481136771345,2,1,0,8,NA,NA,NA,1,0,8,215,108.56202966836189,8,5,8,1516.6666666666667,308.09192608803454,8,1516.6666666666667,308.09192608803454,8,1516.6666666666667,308.09192608803454,-2,distractor
40_ronfard_2021_22,40,ronfard_2021,22,0.5258716532804352,0.3696124769946216,16,0.05244252873563217,0.4862318895689452,4,1,0,12,NA,NA,NA,0.8125,0.4031128874149275,16,570.7692307692307,417.97550842247404,13,7,16,1261.111111111111,427.5448664112491,12,1261.111111111111,427.5448664112491,12,1261.111111111111,427.5448664112491,-3,distractor
41_ronfard_2021_24,41,ronfard_2021,24,0.8691328267214792,0.14517874067548442,15,0.6921695402298851,0.11937707442119404,8,1,0,15,NA,NA,NA,1,0,15,246.66666666666666,121.54756074808544,15,4,15,1557.7777777777778,286.59652150290685,15,1557.7777777777778,286.59652150290685,15,1557.7777777777778,286.59652150290685,-1,distractor
42_ronfard_2021_18,42,ronfard_2021,18,0.6633545706103178,0.24217212209527286,12,0.38936781609195403,0.28572959092124534,6,1,0,11,NA,NA,NA,1,0,12,558.75,331.16958715218016,12,8,12,1315.1515151515152,252.7025640126864,11,1315.1515151515152,252.7025640126864,11,1315.1515151515152,252.7025640126864,-7,distractor
43_ronfard_2021_18,43,ronfard_2021,18,0.7019149831649831,0.2736395569269123,12,0.3227969348659004,0.4894098012735295,6,1,0,11,NA,NA,NA,0.9166666666666666,0.28867513459481287,12,412.72727272727275,229.52520162678908,11,8,12,1403.0303030303032,306.03360216905213,11,1403.0303030303032,306.03360216905213,11,1403.0303030303032,306.03360216905213,-7,distractor
45_ronfard_2021_18,45,ronfard_2021,18,0.7726516639492574,0.14259179904952676,15,0.48659003831417624,0.13270346003706454,6,1,0,15,NA,NA,NA,1,0,15,380,175.20396277318778,15,9,15,1368.888888888889,267.69642444637856,15,1368.888888888889,267.69642444637856,15,1368.888888888889,267.69642444637856,-7,distractor
46_ronfard_2021_22,46,ronfard_2021,22,0.6980701011951012,0.2785198092088489,8,0.2988505747126437,0.17056479817516823,6,1,0,7,NA,NA,NA,1,0,8,471.25,410.30258868999874,8,4,8,1366.6666666666667,330.5438840143004,7,1366.6666666666667,330.5438840143004,7,1366.6666666666667,330.5438840143004,-3,distractor
