recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
1836_garrison_bergelson_2020_14,14,0.5866437283890114,0.42952897315400057,16,0.21638057784352122,0.16205451006313507,8,1.1818181818181819,0.40451991747794525,11,0.6,0.5163977794943222,10,0.2,0.44721359549995793,5,640,NA,1,8,16,1318.939393939394,522.335711932083,11,1324.2424242424242,523.7876815595565,11,161.27272727272728,57.89834351532159,-11
1837_garrison_bergelson_2020_17,17,0.7591344713986223,0.24250247379595893,16,0.47995283018867924,0.16161623134778502,8,1.0666666666666667,0.2581988897471611,15,0.42857142857142855,0.5345224838248488,7,0.8888888888888888,0.3333333333333333,9,396.25,237.45300286883838,8,11,16,1281.6666666666667,332.80016884153224,15,1294.4444444444446,301.10027509349055,15,155.33333333333334,36.132033011218866,-8
1916_frank_tablet_2016_14,14,0.45751633986928103,0.4735099671948962,8,-0.14150943396226415,0.28944486789946794,4,1.5,0.5773502691896257,4,0.6666666666666666,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,3,1415,NA,1,1,8,850,502.35556243671783,4,783.3333333333334,528.800179301813,4,475.00000000000006,231.24061542519348,-11
1918_frank_tablet_2016_15,15,0.7325089126559715,0.375010061686969,4,NA,NA,NA,1,0,3,1,0,2,1,0,2,527.5,335.87572106361006,2,1,4,1322.2222222222222,402.19306217196146,3,1105.5555555555557,609.2648879622916,3,661.1111111111111,201.09653108598073,-10
1920_frank_tablet_2016_17,17,0.525064067222796,0.39958091833769904,10,0.17924528301886794,0.12165265872125888,8,1.5714285714285714,0.5345224838248488,7,0.2,0.44721359549995793,5,0.6666666666666666,0.5773502691896257,3,565,707.1067811865476,2,7,10,669.0476190476192,285.6812150172927,7,650,332.77731404159863,7,384.5238095238096,157.63211474151962,-8
1923_frank_tablet_2016_20,20,0.7395714476970849,0.25480052124396674,7,0.5990566037735849,0.14008719249922164,2,1.1428571428571428,0.3779644730092272,7,0.6666666666666666,0.5773502691896257,3,1,0,3,540,217.94494717703367,3,6,7,810.7142857142858,289.66432862957646,7,816.6666666666667,283.9861759807124,7,408.33333333333337,141.9930879903562,-5
1925_frank_tablet_2016_22,22,0.54922823076351,0.2739244208578322,12,0.010613207547169818,0.3361774001440221,8,1.5555555555555556,0.7264831572567789,9,0,0,5,0.8333333333333334,0.408248290463863,6,430,236.90715480964266,5,14,12,490.74074074074076,177.4356516989389,9,533.3333333333334,149.76833963009523,9,267.5925925925926,75.16699515408227,-3
1926_frank_tablet_2016_22,22,0.4107945289738824,0.27304496465180633,12,-0.125,0.4093808578476894,8,1.2,0.4216370213557839,10,0,0,4,0.7142857142857143,0.4879500364742666,7,625,313.04951684997053,5,17,12,659.1666666666667,387.8249334588297,10,701.6666666666667,378.95649445729,10,350.83333333333337,189.478247228645,-3
1930_frank_tablet_2016_24,24,0.5891627282073687,0.33619505041729186,15,0.11253369272237196,0.3455471062077785,14,1.0769230769230769,0.2773500981126146,13,0.5714285714285714,0.5345224838248488,7,0.4,0.5477225575051661,5,915,176.7766952966369,2,9,15,895.5128205128206,467.8385012457432,13,894.8717948717949,468.41856753971064,13,448.0769230769231,233.63457355475873,-1
1932_frank_tablet_2016_26,26,0.6978328983104473,0.2262071559309138,16,0.38797169811320753,0.3501491485766625,16,1.1875,0.4031128874149275,16,0.5,0.5477225575051661,6,1,0,10,412.5,298.94490387955364,10,16,16,1028.125,461.10650934785446,16,1070.8333333333335,447.81361863730433,16,539.5833333333334,219.47960337192222,1
