recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
555_fmw_2013_18,18,0.604798786042943,0.39466548411493096,28,0.20862814465408805,0.2640071544949125,8,1.0434782608695652,0.20851441405707477,23,0.5833333333333334,0.5149286505444373,12,0.6875,0.47871355387816905,16,408.1818181818182,215.66493371979516,11,14,28,1220.6521739130435,562.315455503034,23,1207.2463768115942,580.139004741221,23,2468.1159420289855,1102.9106697926086,-7
556_fmw_2013_24,24,0.898174491239433,0.19248802845281654,35,0.7847222222222222,0.09216623688681126,12,1,0,34,1,0,20,0.9285714285714286,0.2672612419124244,14,603.4615384615385,246.56291130413194,13,10,35,1589.2156862745098,231.9178695091495,34,1589.2156862745098,231.9178695091495,34,3178.4313725490197,463.835739018299,-1
557_fmw_2013_19,19,0.5767452794571795,0.3296919683067191,13,0.20577830188679244,0.2965856310422185,8,1.0909090909090908,0.30151134457776363,11,0.6666666666666666,0.5773502691896257,3,0.7777777777777778,0.44095855184409843,9,722.1428571428571,137.47294106044842,7,14,13,959.8484848484849,397.1219058183621,11,937.878787878788,422.36706712756313,11,1963.6363636363637,768.469553427756,-6
558_fmw_2013_19,19,0.5870460313702353,0.3690752811696097,26,0.19270833333333334,0.4332260228047911,8,1.0476190476190477,0.21821789023599236,21,0.4666666666666667,0.5163977794943222,15,0.45454545454545453,0.5222329678670935,11,585,383.40579025361626,5,15,26,1142.857142857143,479.4548822642065,21,1130.952380952381,496.4117274748887,21,2309.5238095238096,936.5505774526991,-6
559_fmw_2013_23,23,0.7580834678861128,0.29670159832346815,31,0.5084512578616353,0.3007842852492152,12,1.0666666666666667,0.2537081317024624,30,0.8,0.4140393356054125,15,0.8571428571428571,0.36313651960128146,14,631.6666666666666,316.10796007731665,12,20,31,1239.1666666666667,496.4488355914971,30,1248.3333333333335,486.60899516577496,30,2496.666666666667,973.2179903315499,-2
560_fmw_2013_18,18,0.6377784063935533,0.2913677415965408,28,0.2667059748427673,0.21540542343605235,8,1.1538461538461537,0.36794648440311994,26,0.46153846153846156,0.5188745216627708,13,0.8461538461538461,0.3755338080994054,13,458.1818181818182,231.5952582337636,11,25,28,960.5769230769231,430.9650520266998,26,956.4102564102565,438.7375049965507,26,1960.2564102564104,827.7422696451263,-7
561_fmw_2013_18,18,0.643258795358767,0.24760655716947547,30,0.2607114779874214,0.040090898633239135,8,1.103448275862069,0.3099340466946034,29,0.5384615384615384,0.5188745216627708,13,0.9333333333333333,0.2581988897471611,15,500.7142857142857,344.4217960965502,14,29,30,995.4022988505748,456.13426019962577,29,984.4827586206898,468.9978135310229,29,2012.6436781609198,890.8892379938651,-7
562_fmw_2013_24,24,0.5803065509877258,0.30722791619007056,28,0.2038784067085954,0.2006655060809532,12,1.1111111111111112,0.32025630761017426,27,0.4117647058823529,0.5072996561958923,17,0.75,0.4629100498862757,8,702.5,171.5735993677349,6,30,28,869.7530864197531,501.0626962543854,27,887.0370370370371,497.7370442735454,27,1774.0740740740741,995.4740885470908,-1
563_fmw_2013_18,18,0.5709749063561173,0.4568571691527974,30,0.14917452830188677,0.3253766691354987,8,1.05,0.22360679774997896,20,0.75,0.44721359549995793,16,0.3076923076923077,0.4803844614152614,13,415,300.6936425444786,4,9,30,1399.1666666666667,509.85822476128124,20,1404.1666666666667,501.1645794272722,20,2808.3333333333335,1002.3291588545444,-7
564_fmw_2013_18,18,0.5840203138694846,0.40435144150300106,31,0.15624999999999997,0.11344031021437342,8,1.125,0.3378319623460881,24,0.8235294117647058,0.3929526239966879,17,0.3333333333333333,0.49236596391733095,12,627.5,425,4,19,31,1194.0972222222222,589.4527838086564,24,1202.7777777777778,581.7404061615719,24,2433.3333333333335,1123.2716191708855,-7
565_fmw_2013_24,24,0.5457408762936156,0.3633046273290107,31,0.1584119496855346,0.28243171337907225,12,1.08,0.27688746209726917,25,0.6666666666666666,0.4879500364742666,15,0.5,0.5163977794943222,16,702.5,393.47354240333436,8,24,31,1091.3333333333335,530.8344235118756,25,1079.3333333333335,546.6497287348874,25,2212,1040.2492578793406,-1
566_fmw_2013_17,17,0.7253485901428891,0.28286525302250676,29,0.4045794025157233,0.10000838530437489,8,1,0,28,0.8571428571428571,0.36313651960128146,14,0.8666666666666667,0.3518657752744984,15,765,246.00982365209185,13,20,29,1263.095238095238,477.39772013108836,28,1263.095238095238,477.39772013108836,28,2526.190476190476,954.7954402621767,-8
567_fmw_2013_17,17,0.6134834294491989,0.2594577152890364,31,0.22209119496855345,0.14667676931943613,8,1.1290322580645162,0.3407771005482389,31,0.375,0.5,16,0.9333333333333333,0.2581988897471611,15,507.85714285714283,264.471274328716,14,29,31,945.9677419354839,496.76672634770205,31,942.4731182795699,500.3117307809095,31,1898.9247311827958,987.0451177712846,-8
568_fmw_2013_25,25,0.7521475025097126,0.267932188993111,38,0.47929769392033544,0.2712091859306237,12,1.135135135135135,0.3465834966066909,37,0.45454545454545453,0.5096471914376255,22,1,0,16,438.4375,174.9925593656294,16,27,38,1194.5945945945946,512.6231266437069,37,1181.5315315315315,533.6773164982858,37,2443.2432432432433,965.9596669002688,0
569_fmw_2013_18,18,0.7450980392156863,0.3604858100166713,2,NA,NA,NA,1,0,2,1,NA,1,1,NA,1,1415,NA,1,1,2,1300,659.9663291074444,2,1300,659.9663291074444,2,2600,1319.9326582148888,-7
570_fmw_2013_18,18,0.5642134010489143,0.3606944429785166,25,0.10829402515723272,0.3417371277894273,8,1.0476190476190477,0.21821789023599236,21,0.5833333333333334,0.5149286505444373,12,0.6153846153846154,0.5063696835418333,13,571.25,275.7295517609342,8,21,25,1118.6507936507937,555.2896188896033,21,1120.6349206349207,552.4416701714299,21,2241.2698412698414,1104.8833403428598,-7
571_fmw_2013_24,24,0.7715099437062148,0.2957564079451247,36,0.5687893081761006,0.27689813154686227,12,1,0,34,0.6666666666666666,0.4879500364742666,15,0.8823529411764706,0.3321055820775357,17,651.6666666666666,312.802234798983,15,16,36,1360.7843137254902,414.54779128785134,34,1360.7843137254902,414.54779128785134,34,2721.5686274509803,829.0955825757027,-1
