recording_name,age_months,exp_to_target_lang,fre_exp,eng_exp,subject_id,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,exp_to_target_lang_centred,age_months_centred
CogMisp24_S24_536832000,27,74,26,74,536832000,0.720936650007487,0.2382951370544891,11,0.4308176100628931,0.2066080015139101,10,1.7272727272727273,0.7862453931068965,11,0.75,0.5,4,1,0,7,478.7142857142857,242.63876736533967,7,18,11,1075.5050505050506,541.3515011630132,11,0.15909090909090906,0.1277461972392561,11,0.0618712121212122,0.11055565707449325,11,443.6363636363636,215.878332737342,11,1107.5757575757577,626.691650050026,11,0.24,2
CogMisp24_S32_554952000,30,76,16,76,554952000,0.5770856771981397,0.3180304838997334,11,0.16729559748427672,0.30223890483230637,10,2.1,1.1005049346146119,10,0.25,0.5,4,0.6666666666666666,0.5773502691896257,3,222.5,188.79751057680818,2,13,11,746.5277777777778,590.9668273099563,10,0.2299999999999999,0.18764327858998833,11,0.14826077911987004,0.10722765816087718,11,478.3636363636364,179.06829575738567,11,761.6666666666667,582.356324674927,10,0.26,5
CogMisp24_S35_563376000,28,100,0,100,563376000,0.8248336092033696,0.14230729462767064,7,0.7358490566037736,0.1600996485705391,2,2.2857142857142856,0.9511897312113419,7,0.5,0.7071067811865476,2,1,0,3,399.3333333333333,252.1613240235967,3,7,7,855.7539682539683,699.6859729609973,7,0.19571428571428573,0.2173788661037946,7,0.06711253811869573,0.19462056878779757,7,290.42857142857144,169.77912822532804,7,504.7619047619048,418.7408689678085,7,0.5,3
CogMisp24_S38_562800000,28,35,65,35,562800000,0.667123293675954,0.16719380654351454,8,0.25366876310272535,0.21001643996092606,6,2.375,1.1877349391654208,8,0,NA,1,1,0,3,294,138.351002887583,3,10,8,557.7777777777778,157.95429428443035,8,0.3281250000000001,0.08863800781025863,8,0.18608780149398985,0.14734013464472487,8,470.5,172.0813760986354,8,427.08333333333337,281.1452626848952,8,-0.15000000000000002,3
CogMisp24_S52_522864000,31,36,64,36,522864000,0.6553277362196027,0.3088995609830219,11,0.3635220125786164,0.19790622888444845,10,1.5454545454545454,0.6875516509523286,11,0.4,0.5477225575051661,5,1,0,6,130,68.12635319756959,6,12,11,1180.5555555555557,780.1392721499267,11,0.2427272727272727,0.12378133212168224,11,0.18065248640248643,0.09472131640596738,11,457.09090909090907,112.47529021563318,11,1343.939393939394,777.6486184243972,11,-0.14,6
CogMisp24_S56_542736000,29,92,8,92,542736000,0.6843616868598593,0.24789686832549557,12,0.350104821802935,0.39526172719493846,12,1.5833333333333333,0.6685579234215214,12,0.2,0.44721359549995793,5,1,0,7,171.71428571428572,89.38253797715802,7,15,12,1224.7685185185187,644.3916060859377,12,0.2558333333333334,0.12860852038318274,12,0.19647916666666665,0.08729186012851918,12,474.75,131.43966815096712,12,1169.4444444444446,619.3770629656431,12,0.42000000000000004,4
CogMisp24_S68_585456000,25,35,65,35,585456000,0.6812764920345047,0.31191433240145894,10,0.45440251572327045,0.14840444790654903,8,1.6666666666666667,0.7071067811865476,9,1,0,2,1,0,6,213.33333333333334,80.74073734284737,6,8,10,1142.5925925925926,767.2036666031927,9,0.13050000000000006,0.14906094950276771,10,0.05906568894068891,0.13083157539333992,10,407.7,192.30938614638652,10,1268.5185185185187,684.2191638631082,9,-0.15000000000000002,0
CogMisp24_S72_592776000,25,99,1,99,592776000,0.5370743897632009,0.3140897205377301,10,0.05345911949685536,0.23028851515974078,10,1.2222222222222223,0.44095855184409843,9,0,NA,1,0.75,0.5,4,182.33333333333334,34.42867022313428,3,9,10,959.2592592592594,608.5108822586171,9,0.041874999999999996,0.1927051318910392,8,0.013784226190476145,0.16324664684087772,8,322.625,190.2156201337239,8,994.4444444444446,613.1657379715718,9,0.49,0
CogMisp24_S75_549624000,24,100,0,100,549624000,0.792676348681791,0.16643754430813343,9,0.5607966457023061,0.11225431429284655,6,1.6666666666666667,1,9,0.3333333333333333,0.5163977794943222,6,1,0,3,516,542.6960475256844,3,9,9,1392.5925925925926,761.6393645321507,9,0.26777777777777767,0.07399793540663445,9,0.16902777777777786,0.05436328098491151,9,532.8888888888889,101.14771925807874,9,1161.111111111111,763.1258815628723,9,0.5,-1
CogMisp24_S76_602136000,25,98,2,98,602136000,0.8302759380094265,0.15030749034648758,12,0.6325995807127883,0.17455126502173943,12,1.25,0.45226701686664544,12,0.6666666666666666,0.5773502691896257,3,1,0,8,246.25,182.86978192926557,8,9,12,1825.6944444444446,672.6198058328741,12,0.28136363636363654,0.1318728726670294,11,0.1792727272727272,0.08216558561585234,11,425.45454545454544,150.22873469237743,11,1801.388888888889,626.4562160058679,12,0.48,0
CogMisp24_S01_540060000,25,48,52,48,540060000,0.6929706607130521,0.18061499307631856,12,0.37368972746331236,0.1591638600866989,12,1.0833333333333333,0.28867513459481287,12,0.4,0.5477225575051661,5,1,0,6,321.6666666666667,188.03155763505941,6,14,12,1705.5555555555557,566.5923896655655,12,0.10458333333333336,0.09141459833023814,12,0.08749652777777779,0.09615654399341077,12,326.1666666666667,172.43013517118032,12,1695.8333333333335,587.2863892772444,12,-0.020000000000000018,0
CogMisp24_S02_587580000,25,38,62,38,587580000,0.7193293962008211,0.25678124169771044,8,0.1808176100628931,0.08190199100887866,4,1.875,0.6408699444616557,8,0.5,0.7071067811865476,2,1,NA,1,1138,NA,1,8,8,757.2916666666667,272.09641367231086,8,0.14857142857142863,0.23165553244912093,7,0.03713670319827944,0.16019740087070897,7,461.85714285714283,165.06708592915444,7,618.75,414.65586228459875,8,-0.12,0
CogMisp24_S07_563760000,27,100,0,100,563760000,0.7961013915094066,0.18823094617971478,11,0.5220125786163522,0.2523572660092941,10,1.2727272727272727,0.46709936649691375,11,0,0,2,1,0,9,243.88888888888889,149.06747167343755,9,9,11,1660.6060606060607,761.0308333391818,11,0.27818181818181814,0.12992830190671956,11,0.18219880119880125,0.06583216895568852,11,384.6363636363636,128.6835441906017,11,1606.0606060606062,824.7650415344808,11,0.5,2
CogMisp24_S09_547320000,28,59,40,59,547320000,0.7387838225305396,0.27839827692100816,11,0.48364779874213837,0.2551708046611951,10,1.3636363636363635,0.504524979109513,11,0.8,0.44721359549995793,5,1,0,5,298.4,101.34495547386658,5,10,11,1365.1515151515152,721.0025637747046,11,0.19545454545454552,0.10652357826919226,11,0.11001060606060617,0.05761548898262579,11,466.3636363636364,109.56027813698971,11,1230.3030303030305,865.5704022274105,11,0.08999999999999997,3
